Person_id,Pos.,Player,Team,GP,Min,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT%,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,FB_PTS
1600241,SF,Gradient,76ers GC,3,144,8,16,0.5,0,5,0,0,0,0,1,2,3,5,10,5,3,0,16,0
1600246,PF,DT,76ers GC,3,144,13,23,0.565,3,7,0.429,2,3,0.667,0,12,12,9,10,5,1,7,31,0
1630400,PG,Dre,76ers GC,3,144,27,39,0.692,16,27,0.593,4,4,1,0,1,1,21,1,1,8,0,74,2
1630964,SG,Jyden,76ers GC,3,144,15,23,0.652,10,15,0.667,0,0,0,0,0,0,17,9,2,4,0,40,3
1630973,C,DJ,76ers GC,3,144,30,34,0.882,0,0,0,6,8,0.75,9,26,35,14,4,1,4,1,66,2
1600229,C,May,Blazer5 Gaming,2,96,14,14,1,0,0,0,0,0,0,4,14,18,7,6,0,2,2,28,2
1630411,PF,KayAus,Blazer5 Gaming,2,96,5,7,0.714,0,1,0,0,0,0,1,8,9,1,4,2,1,0,10,2
1630416,SG,Faiz,Blazer5 Gaming,2,96,12,20,0.6,2,9,0.222,0,0,0,0,0,0,13,6,3,9,0,26,0
1641572,PG,Claude,Blazer5 Gaming,2,96,16,26,0.615,9,18,0.5,0,0,0,0,1,1,21,3,1,8,0,41,0
1642187,SF,YouBots,Blazer5 Gaming,2,96,13,20,0.65,5,9,0.556,0,0,0,1,0,1,4,1,4,4,0,31,0
1600004,C,Dimez,Bucks Gaming,3,144,27,39,0.692,0,1,0,6,6,1,10,23,33,18,10,5,4,1,60,0
1630428,SF,dawsix,Bucks Gaming,3,144,14,20,0.7,4,6,0.667,0,0,0,2,2,4,6,5,4,2,0,32,0
1630963,SG,JohhnyRed,Bucks Gaming,3,144,31,40,0.775,12,18,0.667,4,6,0.667,0,1,1,14,7,1,4,0,78,0
1641577,PG,CP,Bucks Gaming,3,144,16,33,0.485,6,17,0.353,5,5,1,0,1,1,41,6,4,10,0,43,3
1642186,PF,R3TRO,Bucks Gaming,3,144,10,16,0.625,4,7,0.571,3,4,0.75,4,11,15,2,7,7,2,1,27,0
1600019,C,Slaughter,Cavs Legion GC,3,144,24,34,0.706,0,0,0,4,4,1,9,23,32,6,8,2,4,4,52,0
1630058,SF,TBShiftay,Cavs Legion GC,3,144,5,16,0.313,1,7,0.143,3,3,1,3,2,5,1,9,7,6,1,14,0
1630075,SG,Killeyy,Cavs Legion GC,3,144,17,28,0.607,6,11,0.545,4,4,1,0,0,0,15,6,2,2,0,44,0
1630408,PG,ANTOINE,Cavs Legion GC,3,144,20,35,0.571,11,16,0.688,9,9,1,0,3,3,20,1,2,3,0,60,0
1630988,PF,DjayTooCold,Cavs Legion GC,3,144,8,18,0.444,5,12,0.417,0,0,0,2,7,9,3,8,9,1,2,21,0
1600056,C,Colt,Celtics Crossover Gaming,3,144,25,31,0.806,0,0,0,10,11,0.909,15,27,42,9,5,2,3,2,60,2
1630398,SG,630,Celtics Crossover Gaming,3,144,13,25,0.52,7,17,0.412,2,2,1,0,1,1,10,7,5,6,0,35,3
1630401,SF,TayZo,Celtics Crossover Gaming,3,144,10,17,0.588,4,9,0.444,2,2,1,0,0,0,3,9,6,1,0,26,0
1641573,PF,Chrizzy,Celtics Crossover Gaming,3,144,10,15,0.667,1,2,0.5,0,0,0,2,11,13,2,8,1,1,0,21,4
1641574,PG,Leche,Celtics Crossover Gaming,3,144,17,41,0.415,14,34,0.412,4,4,1,0,0,0,26,2,4,6,0,52,0
1630395,PF,Anias,DUX Infinitos,3,144,11,19,0.579,3,9,0.333,0,0,0,3,11,14,10,8,6,2,3,25,0
1630979,C,Big Reign,DUX Infinitos,3,144,23,27,0.852,0,0,0,2,2,1,9,19,28,5,3,4,4,4,48,0
1631277,PG,Ryan1of1,DUX Infinitos,3,144,17,42,0.405,9,28,0.321,1,1,1,1,0,1,22,9,2,14,0,44,0
1641593,SG,Gazulli,DUX Infinitos,3,144,14,32,0.438,8,19,0.421,2,2,1,0,1,1,14,9,1,1,0,38,0
1642189,SF,Warknocks,DUX Infinitos,3,144,7,18,0.389,4,12,0.333,0,0,0,0,1,1,4,8,4,2,2,18,0
1600009,SG,ReeseDaGod,Gen.G Tigers,3,144,18,39,0.462,10,22,0.455,8,8,1,0,1,1,10,8,6,8,0,54,3
1630966,PG,gallow,Gen.G Tigers,3,144,13,26,0.5,12,21,0.571,5,5,1,0,1,1,27,2,0,12,0,43,0
1631271,SF,LawRich,Gen.G Tigers,3,144,3,6,0.5,0,2,0,0,0,0,0,1,1,2,5,4,0,0,6,0
1641627,PF,Jolo,Gen.G Tigers,3,144,9,18,0.5,3,9,0.333,0,0,0,0,14,14,2,12,3,0,4,21,0
1642192,C,ItsBoot,Gen.G Tigers,3,144,20,26,0.769,0,0,0,2,2,1,8,19,27,5,6,0,5,1,42,4
1600249,PG,Vandi,Grizz Gaming,3,144,14,34,0.412,12,27,0.444,5,6,0.833,0,2,2,29,9,0,7,0,45,0
1630091,C,Spartxn,Grizz Gaming,3,144,10,15,0.667,0,0,0,7,10,0.7,9,19,28,5,2,1,5,1,27,0
1630403,SG,rigby,Grizz Gaming,3,144,22,37,0.595,12,21,0.571,4,4,1,0,0,0,12,5,7,5,0,60,0
1630972,SF,IcyyTheGoat,Grizz Gaming,3,144,18,26,0.692,3,7,0.429,0,0,0,0,3,3,1,7,4,1,0,39,4
1641609,PF,OhDonn,Grizz Gaming,3,144,7,14,0.5,4,8,0.5,0,0,0,2,5,7,5,7,4,1,3,18,0
1630047,PG,Duck,Hawks Talon GC,3,144,17,28,0.607,13,23,0.565,0,0,0,0,0,0,29,1,3,7,0,47,2
1630404,C,Low,Hawks Talon GC,3,144,19,23,0.826,0,0,0,5,6,0.833,6,24,30,8,7,3,3,2,43,0
1630420,SF,UnderRatedGoat,Hawks Talon GC,3,144,22,28,0.786,7,11,0.636,0,0,0,2,1,3,7,4,6,2,0,51,0
1641580,SG,MDS,Hawks Talon GC,3,144,21,46,0.457,10,29,0.345,7,7,1,0,0,0,25,5,2,6,0,59,3
1642193,PF,BaitPickk,Hawks Talon GC,3,144,8,14,0.571,5,10,0.5,2,3,0.667,1,13,14,2,10,5,1,5,23,0
1600214,SF,Matty,Heat Check Gaming,3,144,11,20,0.55,5,13,0.385,0,0,0,0,0,0,5,5,6,1,0,27,2
1630423,C,Sawc,Heat Check Gaming,3,144,24,31,0.774,6,9,0.667,3,3,1,7,23,30,23,5,3,5,0,57,0
1630969,PF,DTrick,Heat Check Gaming,3,144,8,14,0.571,2,3,0.667,7,8,0.875,3,16,19,11,7,6,3,2,25,0
1641578,SG,HoodieKy,Heat Check Gaming,3,144,37,61,0.607,15,29,0.517,4,6,0.667,0,0,0,13,7,5,5,0,93,4
1641821,PG,TheRealTay614,Heat Check Gaming,3,144,13,28,0.464,8,16,0.5,1,1,1,0,0,0,17,11,2,0,0,35,0
1630066,PF,Big Saint,Hornets Venom GT,4,192,21,27,0.778,14,17,0.824,0,0,0,2,13,15,5,9,7,5,3,56,0
1630409,C,Crown,Hornets Venom GT,4,192,30,38,0.789,0,2,0,4,4,1,11,25,36,17,6,2,5,0,64,0
1630965,SG,TreyDollaz,Hornets Venom GT,4,192,18,34,0.529,6,13,0.462,3,3,1,0,0,0,22,8,2,5,0,45,2
1631038,PG,Mooch,Hornets Venom GT,4,192,17,47,0.362,13,33,0.394,5,5,1,1,2,3,30,2,0,7,0,52,0
1641629,SF,Flukelock,Hornets Venom GT,4,192,15,18,0.833,7,8,0.875,5,5,1,0,1,1,8,7,5,5,0,42,0
1600252,C,Ria,Jazz Gaming,3,144,17,25,0.68,0,0,0,0,0,0,14,18,32,9,4,1,0,2,34,0
1631181,PF,Miamiers,Jazz Gaming,3,144,14,23,0.609,5,13,0.385,1,1,1,5,14,19,5,7,3,5,1,34,0
1631183,SF,Kaze,Jazz Gaming,3,144,11,20,0.55,4,11,0.364,3,3,1,0,3,3,7,8,4,1,0,29,2
1642194,PG,Feen,Jazz Gaming,3,144,13,34,0.382,11,30,0.367,1,1,1,0,1,1,20,8,2,8,0,38,3
1642370,SG,x6Mello,Jazz Gaming,3,144,18,35,0.514,8,19,0.421,3,4,0.75,0,0,0,15,5,8,2,0,47,0
1630432,PF,Kerry,Kings Guard Gaming,2,96,6,10,0.6,1,3,0.333,0,0,0,0,10,10,5,6,0,4,0,13,0
1641585,C,Bray,Kings Guard Gaming,2,96,9,10,0.9,0,0,0,2,4,0.5,4,15,19,6,3,1,2,1,20,0
1642196,SG,ScoreSzn,Kings Guard Gaming,2,96,10,23,0.435,7,15,0.467,0,0,0,0,0,0,6,1,2,2,0,27,0
1642197,SF,KIK6,Kings Guard Gaming,2,96,16,17,0.941,4,5,0.8,0,0,0,1,2,3,1,5,1,2,1,36,0
1642198,PG,Fatstop,Kings Guard Gaming,2,96,10,20,0.5,8,16,0.5,2,5,0.4,0,0,0,25,7,2,11,0,30,0
1600039,PF,FEAST,Knicks Gaming,3,144,5,6,0.833,1,2,0.5,1,2,0.5,3,14,17,1,8,4,2,5,12,0
1600040,C,Sick One,Knicks Gaming,3,144,22,28,0.786,1,3,0.333,0,0,0,9,16,25,18,3,1,5,0,45,2
1600097,PG,Radiant,Knicks Gaming,3,144,20,35,0.571,17,26,0.654,0,0,0,0,4,4,28,4,3,6,0,57,0
1600218,SG,OriginalMalik,Knicks Gaming,3,144,24,41,0.585,7,18,0.389,6,6,1,0,0,0,23,7,2,8,0,61,5
1630976,SF,Whatsstick,Knicks Gaming,3,144,23,32,0.719,6,12,0.5,0,0,0,1,3,4,2,7,4,4,0,52,3
1630050,SG,ShiftyKaii,Lakers Gaming,3,144,14,25,0.56,9,19,0.474,2,2,1,0,0,0,21,8,5,4,0,39,0
1630397,C,Krazy,Lakers Gaming,3,144,32,37,0.865,1,1,1,2,2,1,10,10,20,20,5,2,5,2,67,0
1630399,PF,YooVc,Lakers Gaming,3,144,11,19,0.579,8,14,0.571,1,2,0.5,1,13,14,3,7,2,3,0,31,0
1630977,SF,Trellyb,Lakers Gaming,3,144,15,25,0.6,0,1,0,0,0,0,1,2,3,5,6,5,1,0,30,0
1642199,PG,Dvnxsty,Lakers Gaming,3,144,7,24,0.292,6,18,0.333,1,2,0.5,0,0,0,19,4,1,7,0,21,0
1630063,SF,Snubby,Magic Gaming,3,144,11,15,0.733,4,4,1,0,0,0,0,1,1,8,11,6,2,2,26,0
1630962,PG,unguardable,Magic Gaming,3,144,30,43,0.698,8,17,0.471,7,7,1,0,3,3,34,3,0,8,0,75,0
1630968,SG,ReturnOfDJ,Magic Gaming,3,144,20,35,0.571,7,20,0.35,2,3,0.667,0,1,1,12,3,0,1,0,49,0
1631270,C,LowkeyGodlike,Magic Gaming,3,144,20,28,0.714,0,3,0,4,4,1,4,23,27,11,5,2,4,4,44,0
1642200,PF,Jboolin,Magic Gaming,3,144,9,11,0.818,6,8,0.75,1,1,1,0,7,7,5,7,3,1,3,25,0
1600028,C,Shotz,Mavs Gaming,3,144,18,22,0.818,0,0,0,1,1,1,9,30,39,4,3,2,4,1,37,0
1600060,SF,Dayfri,Mavs Gaming,3,144,16,24,0.667,5,7,0.714,3,3,1,3,5,8,9,8,6,4,1,40,0
1630978,PG,Kapp,Mavs Gaming,3,144,18,33,0.545,9,17,0.529,4,4,1,0,0,0,13,5,3,8,0,49,0
1630987,SG,FantaSZN,Mavs Gaming,3,144,13,31,0.419,10,26,0.385,0,0,0,0,0,0,26,5,2,6,0,36,0
1631312,PF,Jarsity,Mavs Gaming,3,144,15,26,0.577,7,9,0.778,0,0,0,6,12,18,8,6,4,3,1,37,0
1630406,PG,Ceez,NBL Oz Gaming,3,144,45,49,0.918,11,12,0.917,10,10,1,0,0,0,29,3,2,12,0,111,0
1630434,C,Milo,NBL Oz Gaming,3,144,10,17,0.588,3,8,0.375,4,4,1,4,20,24,11,5,1,2,2,27,0
1630985,SF,Bagmotion,NBL Oz Gaming,3,144,7,17,0.412,4,12,0.333,0,0,0,0,1,1,13,13,5,5,0,18,0
1641583,PF,Plu,NBL Oz Gaming,3,144,8,15,0.533,6,10,0.6,1,2,0.5,1,13,14,5,11,2,1,2,23,0
1641588,SG,HarryVZN,NBL Oz Gaming,3,144,20,31,0.645,10,17,0.588,2,2,1,1,0,1,13,1,0,1,0,52,0
1600003,PF,Steez,NetsGC,3,144,6,13,0.462,3,7,0.429,0,0,0,2,9,11,6,11,3,1,1,15,0
1600011,C,OneWildWalnut,NetsGC,3,144,29,38,0.763,3,5,0.6,2,4,0.5,12,18,30,17,6,5,6,1,63,5
1600217,SG,Reizey,NetsGC,3,144,8,13,0.615,5,7,0.714,0,0,0,0,0,0,9,5,2,6,1,21,0
1630983,SF,Streetz,NetsGC,3,144,15,23,0.652,5,10,0.5,2,2,1,1,1,2,2,7,8,2,0,37,0
1631191,PG,Greens,NetsGC,3,144,22,42,0.524,14,27,0.519,11,11,1,0,1,1,37,4,3,11,0,69,0
1630396,SG,Chess,Pacers Gaming,3,144,17,29,0.586,10,19,0.526,4,4,1,1,0,1,10,5,3,4,0,48,3
1630410,C,Scoreo,Pacers Gaming,3,144,25,30,0.833,1,1,1,2,3,0.667,6,25,31,5,5,3,6,3,53,0
1630955,PG,Cooks,Pacers Gaming,3,144,21,44,0.477,16,34,0.471,1,1,1,0,1,1,34,3,0,5,0,59,0
1641575,SF,SubGoated,Pacers Gaming,3,144,12,25,0.48,7,15,0.467,1,2,0.5,1,2,3,2,4,4,5,0,32,0
1641589,PF,JaySnags,Pacers Gaming,3,144,10,13,0.769,3,5,0.6,0,0,0,5,14,19,10,7,7,3,1,23,0
1600026,SG,Bsmoove,Pistons GT,3,144,26,38,0.684,12,18,0.667,6,7,0.857,1,0,1,4,7,3,1,0,70,0
1600095,SF,Jomar,Pistons GT,3,144,8,15,0.533,2,8,0.25,0,0,0,0,2,2,6,13,3,4,0,18,0
1630975,PG,ANT,Pistons GT,3,144,27,43,0.628,5,14,0.357,10,10,1,0,0,0,55,5,2,8,0,69,2
1641591,PF,Connor,Pistons GT,3,144,8,16,0.5,3,11,0.273,5,5,1,2,12,14,9,12,5,0,1,24,0
1642202,C,Mona,Pistons GT,3,144,25,32,0.781,6,8,0.75,6,6,1,9,24,33,9,4,1,4,0,62,0
1600093,C,BallLikeSeem,Raptors Uprising GC,3,144,23,27,0.852,0,0,0,7,8,0.875,7,16,23,9,5,2,5,0,53,2
1630048,PF,Crush,Raptors Uprising GC,3,144,7,14,0.5,2,6,0.333,2,2,1,0,12,12,4,8,9,1,0,18,0
1630982,SG,Simptoms,Raptors Uprising GC,3,144,19,32,0.594,11,21,0.524,3,3,1,0,0,0,12,2,3,1,0,52,0
1641594,SF,Haam,Raptors Uprising GC,3,144,16,21,0.762,0,1,0,2,2,1,0,2,2,6,9,7,2,0,34,2
1641820,PG,antoinelove,Raptors Uprising GC,3,144,27,39,0.692,14,23,0.609,4,4,1,0,1,1,43,6,3,12,0,72,2
1600221,PG,BearDaBeast,T-Wolves Gaming,3,144,24,34,0.706,5,11,0.455,18,19,0.947,0,3,3,33,3,1,14,0,71,0
1630998,C,Polow,T-Wolves Gaming,3,144,11,17,0.647,3,8,0.375,2,2,1,8,21,29,10,3,4,6,2,27,0
1641590,SF,Range,T-Wolves Gaming,3,144,11,14,0.786,2,3,0.667,2,3,0.667,0,0,0,1,8,3,0,0,26,2
1642203,SG,Tutak,T-Wolves Gaming,3,144,18,34,0.529,11,21,0.524,2,2,1,0,1,1,6,4,2,4,2,49,0
1642204,PF,Igymo,T-Wolves Gaming,3,144,14,18,0.778,5,8,0.625,0,0,0,2,6,8,3,8,5,0,3,33,0
1600017,SF,Kenny Got Work,Warriors Gaming Squad,3,144,15,21,0.714,5,8,0.625,3,3,1,1,0,1,5,10,8,1,0,38,0
1600021,SG,Mama Im Dat Man,Warriors Gaming Squad,3,144,21,37,0.568,10,22,0.455,0,0,0,0,0,0,19,5,11,6,0,52,2
1600205,PG,CB13,Warriors Gaming Squad,3,144,18,30,0.6,8,15,0.533,6,6,1,0,0,0,36,5,4,8,0,50,0
1630419,PF,Seese,Warriors Gaming Squad,3,144,15,23,0.652,1,4,0.25,2,2,1,2,13,15,4,12,3,1,1,33,2
1631278,C,Nay,Warriors Gaming Squad,3,144,24,34,0.706,0,0,0,5,6,0.833,12,26,38,9,5,3,4,1,53,0
1600022,PF,Newdini,Wizards District Gaming,3,144,9,14,0.643,2,7,0.286,2,2,1,8,14,22,6,9,4,6,0,22,0
1600033,C,Type,Wizards District Gaming,3,144,19,21,0.905,0,0,0,3,4,0.75,7,23,30,5,7,5,0,2,41,0
1630073,SF,Just Awkward,Wizards District Gaming,3,144,17,24,0.708,6,11,0.545,0,0,0,1,0,1,5,5,3,2,0,40,2
1630092,SG,BRich,Wizards District Gaming,3,144,14,29,0.483,9,19,0.474,10,10,1,0,0,0,8,5,2,4,0,47,0
